2025-07-30 09:55:26,614      INFO: > ET_LOOK
2025-07-30 09:55:27,623      INFO:             --> Starting iteration 2.
2025-07-30 09:55:27,652      INFO:             --> Iteration 2 finished.
2025-07-30 09:55:27,761      INFO:         --> Iteration 2 finished.
2025-07-30 09:55:27,839      INFO:     --> Calculating `transpiration_mm`.
2025-07-30 09:55:27,843      INFO:     --> Calculating `net_radiation_soil`.
2025-07-30 09:55:27,846      INFO:     --> Calculating `soil_resistance`.
2025-07-30 09:55:27,849      INFO:     --> Calculating `initial_soil_aerodynamic_resistance`.
2025-07-30 09:55:27,853      INFO:     --> Calculating `initial_friction_velocity_soil_daily`.
2025-07-30 09:55:27,859      INFO:     --> Calculating `soil_thermal_conductivity`.
2025-07-30 09:55:27,861      INFO:     --> Calculating `volumetric_heat_capacity`.
2025-07-30 09:55:27,864      INFO:     --> Calculating `damping_depth`.
2025-07-30 09:55:27,870      INFO:     --> Calculating `bare_soil_heat_flux`.
2025-07-30 09:55:27,880      INFO:     --> Calculating `soil_heat_flux`.
2025-07-30 09:55:27,895      INFO:     --> Calculating `initial_daily_evaporation`.
2025-07-30 09:55:27,906      INFO:     --> Calculating `initial_sensible_heat_flux_soil_daily`.
2025-07-30 09:55:27,910      INFO:     --> Calculating `evaporation`.
2025-07-30 09:55:28,593      INFO:     --> Calculating `evaporation_mm`.
2025-07-30 09:55:28,599      INFO:     --> Calculating `eti_actual_mm`.
2025-07-30 09:55:28,604      INFO:     --> Calculating `net_radiation_grass`.
2025-07-30 09:55:28,607      INFO:     --> Calculating `et_reference`.
2025-07-30 09:55:28,617      INFO:     --> Calculating `et_reference_mm`.
2025-07-30 09:55:28,643      INFO:     --> Saving output to `res_2023-01-01`.
2025-07-30 09:55:31,106      INFO:         > peak-memory-usage: 3.7MB, execution-time: 0:00:02.462749.
2025-07-30 09:55:31,108      INFO:         > chunksize|dimsize: [y: 41|41, x: 42|42, time_bins: 1|1], crs: EPSG:4326
2025-07-30 09:55:31,108      INFO: < ET_LOOK (0:00:04.494126)
2025-07-31 09:44:50,406      INFO: > ET_LOOK
2025-07-31 09:44:50,426      INFO:     --> Running `et_look` (v3).
2025-07-31 09:44:50,553      INFO:     --> Setting `rs_min` to `100`.
2025-07-31 09:44:50,555      INFO:     --> Setting `land_mask` to `1`.
2025-07-31 09:44:50,556      INFO:     --> Setting `z_obst_max` to `3`.
2025-07-31 09:44:50,557      INFO:     --> Calculating `declination`.
2025-07-31 09:44:50,561      INFO:     --> Calculating `inverse_earth_sun_distance`.
2025-07-31 09:44:50,565   WARNING:     --> Insufficient data found for `vegetation_cover`, missing [`nd_min`, `nd_max`, `vc_pow`]
2025-07-31 09:44:50,566   WARNING:     --> Insufficient data found for `leaf_area_index`, missing [`vc`, `vc_min`, `vc_max`, `lai_pow`]
2025-07-31 09:44:50,568   WARNING:     --> Insufficient data found for `effective_leaf_area_index`, missing [`lai`]
2025-07-31 09:44:50,569   WARNING:     --> Insufficient data found for `soil_fraction`, missing [`lai`]
2025-07-31 09:44:50,571      INFO:     --> Calculating `latitude_rad`.
2025-07-31 09:44:50,572      INFO:     --> Calculating `sunset_hour_angle`.
2025-07-31 09:44:50,579      INFO:     --> Calculating `daily_solar_radiation_toa_flat`.
2025-07-31 09:44:50,590      INFO:     --> Calculating `seasonal_correction`.
2025-07-31 09:44:50,599      INFO:     --> Calculating `daily_solar_radiation_toa`.
2025-07-31 09:44:50,671      INFO:     --> Calculating `cosine_solar_zenith_angle`.
2025-07-31 09:44:50,723      INFO:     --> Calculating `inst_solar_radiation_toa`.
2025-07-31 09:44:50,730      INFO:     --> Calculating `transmissivity`.
2025-07-31 09:44:50,733   WARNING:     --> Insufficient data found for `diffusion_index`, missing [`diffusion_slope`, `diffusion_intercept`]
2025-07-31 09:44:50,734   WARNING:     --> Insufficient data found for `daily_total_solar_radiation`, missing [`diffusion_index`]
2025-07-31 09:44:50,736   WARNING:     --> Insufficient data found for `stress_radiation`, missing [`ra_24`]
2025-07-31 09:44:50,738      INFO:     --> Calculating `air_pressure_kpa2mbar`.
